"Time","Demand"
2012-01-01 00:00:00,4382.825174
2012-01-01 00:30:00,4263.365526
2012-01-01 01:00:00,4048.966046
2012-01-01 01:30:00,3877.56333
2012-01-01 02:00:00,4036.229746
2012-01-01 02:30:00,3865.597244
2012-01-01 03:00:00,3694.097664
2012-01-01 03:30:00,3561.623686
2012-01-01 04:00:00,3433.035352
2012-01-01 04:30:00,3359.468
2012-01-01 05:00:00,3331.343274
2012-01-01 05:30:00,3304.641186
2012-01-01 06:00:00,3272.106404
2012-01-01 06:30:00,3275.99806
2012-01-01 07:00:00,3370.42409
2012-01-01 07:30:00,3494.418154
2012-01-01 08:00:00,3580.091164
2012-01-01 08:30:00,3719.985142
2012-01-01 09:00:00,3909.300738
2012-01-01 09:30:00,4092.566212
2012-01-01 10:00:00,4245.024938
2012-01-01 10:30:00,4413.074788
2012-01-01 11:00:00,4599.507418
2012-01-01 11:30:00,4772.133542
2012-01-01 12:00:00,4938.79574
2012-01-01 12:30:00,5080.138254
2012-01-01 13:00:00,5211.915476
2012-01-01 13:30:00,5328.31718
2012-01-01 14:00:00,5436.420076
2012-01-01 14:30:00,5538.356502
2012-01-01 15:00:00,5641.188556
2012-01-01 15:30:00,5737.303578
2012-01-01 16:00:00,5831.138192
2012-01-01 16:30:00,5935.794824
2012-01-01 17:00:00,5999.870792
2012-01-01 17:30:00,6071.191688
2012-01-01 18:00:00,6082.502946
2012-01-01 18:30:00,6005.434908
2012-01-01 19:00:00,5890.774506
2012-01-01 19:30:00,5709.07195
2012-01-01 20:00:00,5529.864864
2012-01-01 20:30:00,5395.439534
2012-01-01 21:00:00,5368.114986
2012-01-01 21:30:00,5236.609354
2012-01-01 22:00:00,4992.28282
2012-01-01 22:30:00,4728.466002
2012-01-01 23:00:00,4515.15537
2012-01-01 23:30:00,4330.376528
2012-01-02 00:00:00,4367.914468
2012-01-02 00:30:00,4164.015958
2012-01-02 01:00:00,3898.239882
2012-01-02 01:30:00,3752.016756
2012-01-02 02:00:00,3941.369156
2012-01-02 02:30:00,3776.118154
2012-01-02 03:00:00,3601.350916
2012-01-02 03:30:00,3490.138704
2012-01-02 04:00:00,3433.902124
2012-01-02 04:30:00,3416.64658
2012-01-02 05:00:00,3437.95793
2012-01-02 05:30:00,3430.715412
2012-01-02 06:00:00,3488.721382
2012-01-02 06:30:00,3572.151288
2012-01-02 07:00:00,3746.740622
2012-01-02 07:30:00,3936.300246
2012-01-02 08:00:00,4097.803516
2012-01-02 08:30:00,4328.535242
2012-01-02 09:00:00,4600.146478
2012-01-02 09:30:00,4865.516228
2012-01-02 10:00:00,5136.096
2012-01-02 10:30:00,5389.694676
